"","bio_1","bio_2","bio_3","bio_4","bio_7","bio_14","bio_15","bio_18","bio_19","Built2009","crop2005","NavWat2009","Pastur2009","Popden2010","Railways","Roads","HFP2009","pet_he_yr","aet_yr","perren_str","interm_str","dams","canals","perren_wb","interm_wb","dry_salt_f","ocean_sea","prelim_ric","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1490",243,95,78,718,121,11,69,150,356,0,0,0.79971,0,3,8,2.72822,14.5279,1590,1135,53522.9,297477,4206680,2248020,2050.11,666034,2477070,2477070,55,3.36576980214199,-1.88362352392596,2.22640009332881,1.68151871178005,3.83571223805369,-0.80999181021053,-4.88768926194368
"1491",237,113,83,517,135,39,49,504,324,0,0,0,0,3,0,8,11,1728,1312,50648.9,454485,4495290,2200340,11749.6,947241,2342410,2342410,62,3.5934735377164,0.404499929078535,-0.840444756667497,1.92545156428645,-0.365719608399929,-1.56663360733624,0.0377370208153236
"1492",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
"1493",237,92,82,642,112,39,54,404,326,0,0,0,0,3,0,8,12,1556,1302,53291.8,224115,4359530,2315920,102938,836364,2403360,2403360,66,4.53463838527547,-0.0903785581416562,-0.414318042613597,1.45956624806213,-0.477805706474313,1.11491978364066,0.364619246991051
"1494",201,91,77,873,118,14,70,384,1185,0,0,0,0,6,0,4,10,1403,1135,18466,201247,4047920,1981080,19500.8,594671,2522600,2522600,80,3.87807149489884,-1.74032286851636,-0.0489970103085003,-1.72963687077969,0.458425221013817,0.479444329254131,0.353282667054468
"1495",237,113,83,533,135,38,49,503,426,0,0,0,0,3,0,8,11,1722,1307,51944.4,454849,4492380,2203350,10025.4,944247,2346080,2346080,62,3.66773081508641,0.3325403282683,-0.844763158510347,1.8091359433025,-0.295182990212457,-1.64387066763843,0.0289389048414321
"1496",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
"1497",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
"1499",219,81,77,781,104,41,56,512,1274,0,0,2.54345e-05,0,6,0,0.757507,6.75753,1391,1263,39808.3,161616,4085080,1961020,19441.4,674613,2575920,2575920,68,4.5510786472162,-0.33049696849619,-0.609125782315316,-2.07965080125374,0.0956341412012794,-0.497777130553107,0.338986559976017
"1500",203,105,76,989,138,10,73,338,1102,0,0,0,0,8,0,4,12,1510,1131,43196,317244,3970990,1984410,9107.29,474594,2427560,2427560,41,2.40978371360446,-2.1996694547108,0.237844796319797,-0.968144573858162,1.14965589805466,-0.961423660294484,0.197673914468156
"1501",237,92,82,642,112,39,54,404,326,0,0,0,0,3,0,8,12,1556,1302,53291.8,224115,4359530,2315920,102938,836364,2403360,2403360,66,4.53463838527547,-0.0903785581416562,-0.414318042613597,1.45956624806213,-0.477805706474313,1.11491978364066,0.364619246991051
"1502",214,90,76,904,117,14,72,385,1291,0,0,0,0,6,0,8,14,1444,1164,21471,199399,4050450,1984390,17570.6,595761,2524710,2524710,84,4.22720843894826,-2.35699778524319,-0.292937968975995,-1.04061432385099,0.700947956612582,0.205494965070242,0.604537750625303
