bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,hfp2009_ty
178,130,57,3446,271,43,228,215,128,215,128,672,126,5,79,350,22,350,22,1.75751
168,104,52,3357,270,72,198,132,210,210,125,650,101,15,59,289,57,57,287,39.2815
180,131,53,4149,307,61,246,133,230,230,125,706,120,16,64,332,56,56,327,36
164,101,53,3050,259,69,190,124,202,202,124,627,91,20,50,264,65,65,264,26.0004
166,106,54,3235,267,71,196,125,206,206,125,633,109,15,62,296,54,54,296,38.0006
168,97,53,2967,260,80,180,130,205,205,130,723,124,18,62,344,62,66,344,31.9871
158,140,56,4007,289,40,249,113,205,207,105,225,34,6,54,97,20,27,97,4.75751
139,146,54,4335,256,-12,268,181,78,187,78,717,116,8,68,338,41,332,41,39
225,104,57,2431,308,128,180,254,191,254,191,907,138,33,47,373,111,373,111,10.2815
128,160,52,4919,278,-27,305,183,62,188,62,546,80,16,47,224,57,205,57,8
158,150,53,4627,303,24,279,130,215,215,97,227,30,5,42,86,26,26,73,32
222,105,55,2572,309,121,188,254,191,254,187,927,150,31,48,377,108,377,114,13.7997
166,167,50,5409,312,-18,330,220,90,227,90,504,80,7,64,232,27,216,27,11
179,160,50,5409,327,13,314,235,105,243,105,404,65,9,62,188,29,166,29,25
160,167,52,5199,305,-13,318,214,88,221,88,587,98,11,62,269,38,254,38,11
143,133,55,3749,241,1,240,184,90,184,89,843,139,11,68,400,43,400,44,42
142,152,52,4729,273,-14,287,190,76,196,76,690,104,12,61,303,43,292,43,8
160,101,64,1903,236,80,156,142,183,183,136,93,17,1,67,45,6,6,45,19
183,168,51,5373,332,7,325,238,108,245,108,431,75,7,69,208,23,198,23,20
164,117,55,3396,276,65,211,128,206,206,120,781,128,17,61,355,63,72,351,46
169,123,54,3678,289,64,225,129,213,215,122,781,131,18,62,364,63,67,358,36
188,157,57,4130,304,32,272,232,130,232,130,516,104,2,77,260,11,260,11,28
203,172,54,5024,340,26,314,251,132,258,132,322,64,2,83,175,7,155,7,1
221,125,57,3151,312,93,219,256,176,256,176,747,137,11,71,368,34,368,34,7.62955
222,127,57,3055,316,97,219,250,178,256,178,560,92,10,57,241,42,233,42,21
167,139,55,4232,298,48,250,110,206,218,110,195,29,6,48,82,21,28,82,3.31868
178,159,56,4499,326,45,281,127,232,232,119,308,59,7,69,154,24,24,151,9
162,147,56,3933,298,38,260,165,112,212,112,351,40,23,16,108,77,82,77,10
151,136,53,4228,289,33,256,105,203,205,98,675,112,12,66,324,56,56,320,10
180,135,54,3917,303,54,249,185,217,228,129,549,64,31,19,163,108,112,147,17
163,102,56,2827,257,75,182,134,197,198,127,1150,178,35,57,513,114,116,503,37.1448
171,140,55,3826,295,44,251,176,206,218,121,475,56,29,18,140,94,97,125,10
52,104,50,3509,148,-57,205,93,5,93,3,922,141,9,63,391,41,391,44,15
155,93,83,436,209,97,112,156,149,158,149,1752,211,27,43,594,132,532,227,15.0001
216,115,87,314,281,149,132,216,212,219,212,1513,169,44,32,489,186,433,186,7.62955
119,143,53,4196,242,-23,265,167,62,167,61,675,96,13,56,271,47,271,52,5.29673
277,108,69,1239,362,207,155,265,282,295,262,1204,207,6,67,473,29,211,466,15
133,134,53,3923,231,-19,250,174,76,174,76,1015,173,10,74,511,44,511,44,7
179,154,54,4327,295,14,281,226,118,226,117,766,141,8,70,370,37,370,38,10
218,127,56,3093,315,92,223,244,174,253,174,672,109,12,60,305,41,256,41,26
222,106,56,2621,308,119,189,253,189,254,186,927,151,31,48,375,108,362,114,10.3576
168,119,59,2949,246,45,201,199,124,199,124,1307,234,17,77,669,55,669,55,12
139,146,55,4060,251,-11,262,180,82,184,82,743,125,9,69,347,37,340,37,17
183,168,51,5381,329,4,325,237,108,244,108,435,72,6,69,213,22,199,22,13
199,125,60,2808,288,81,207,231,159,231,159,908,154,13,72,448,42,448,42,17
176,101,41,4762,308,63,245,119,235,240,117,757,140,0,84,394,8,15,394,29.7283
181,121,46,4599,316,55,261,121,238,240,121,684,135,1,80,362,11,15,362,22
182,120,45,4643,317,56,261,121,239,242,121,686,134,0,80,363,10,14,363,15
254,81,72,954,311,199,112,255,241,264,241,2394,415,4,68,1029,44,789,44,1.25006
229,85,73,875,287,172,115,230,216,237,216,2369,407,5,64,983,63,779,63,1.2521
237,92,82,601,297,185,112,234,240,244,228,1680,280,39,54,659,139,405,327,12
204,166,87,658,300,111,189,202,209,212,195,1955,267,61,37,711,263,333,540,21
202,165,87,678,298,110,188,200,207,210,192,1938,269,67,35,697,276,341,524,16
124,134,78,945,215,44,171,134,111,135,110,1518,293,60,58,676,196,515,211,22
183,104,68,1503,264,113,151,193,162,201,162,1211,252,14,82,534,52,305,52,17
122,134,78,776,211,40,171,130,123,131,111,1355,211,48,45,529,192,399,250,11
178,150,78,790,270,78,192,186,171,186,166,980,155,12,57,371,68,371,74,6.62955
193,123,91,234,259,125,134,192,191,196,190,1314,155,43,32,435,197,370,217,6.2521
190,123,91,229,256,121,135,189,187,192,187,1274,154,39,34,424,181,289,203,6.25012
201,123,91,240,268,133,135,200,199,204,198,1202,145,37,34,410,178,254,201,7.25126
195,120,84,417,269,127,142,192,196,200,189,1446,215,54,44,570,204,366,347,6.8525
172,109,71,689,244,92,152,174,162,178,162,1380,214,4,65,575,28,324,112,16
163,108,72,697,233,84,149,165,152,169,152,1449,222,4,65,600,30,348,113,15
193,113,77,386,264,119,145,193,188,196,187,1195,176,5,60,469,32,171,114,17
204,110,80,321,274,137,137,203,202,208,200,1384,207,8,58,545,46,212,148,12
233,103,72,574,302,159,143,234,226,239,225,1082,174,3,66,451,25,240,103,15.3138
211,118,67,928,296,121,175,208,201,223,199,1173,194,1,71,510,15,237,100,10
247,102,74,502,317,180,137,246,243,254,241,906,143,3,63,388,25,112,91,20
245,95,78,714,314,193,121,239,250,254,236,1523,300,11,69,680,60,149,470,15.5168
251,109,67,1071,337,176,161,239,254,267,239,1703,311,6,76,805,25,203,805,6
228,105,72,987,309,164,145,214,233,241,214,2073,373,9,73,1013,46,292,1013,10
200,103,75,955,279,143,136,187,208,212,187,2225,404,12,73,1135,60,355,1135,16
236,91,81,711,296,184,112,232,242,245,227,1650,299,22,62,668,99,218,343,38
195,111,74,958,279,129,150,182,201,206,182,1844,334,7,73,917,45,271,917,10
214,103,74,958,293,155,138,201,220,226,201,2182,390,10,73,1082,55,338,1082,16
180,104,75,998,258,120,138,166,188,191,166,2129,386,14,70,1046,69,359,1046,16
205,98,76,924,279,151,128,195,214,216,193,1945,341,9,68,913,52,161,876,11.0008
164,108,76,965,245,104,141,151,172,175,151,1986,360,13,69,966,68,328,966,7.25014
199,103,75,937,278,141,137,187,207,211,187,1900,330,7,68,876,50,157,876,7.33952
241,100,72,501,307,170,137,241,235,246,234,1121,173,5,62,451,35,131,118,13
210,99,73,490,275,140,135,210,204,215,204,1286,210,9,62,510,40,162,135,13.0001
246,87,76,867,310,197,113,232,252,255,232,2977,499,27,67,1390,130,443,1390,14
202,91,76,926,269,150,119,188,208,212,188,2434,428,14,70,1187,80,383,1187,8.72822
219,81,77,781,277,173,104,207,224,228,207,2893,433,41,56,1274,173,512,1274,7.62959
207,92,76,911,275,154,121,194,213,217,194,2386,425,11,72,1182,70,366,1182,10
237,113,83,517,309,174,135,237,235,244,231,1599,259,39,49,624,147,504,324,11
235,105,82,521,304,176,128,235,233,242,230,1610,270,35,51,625,133,506,346,11
237,98,81,591,303,183,120,236,236,244,229,1621,285,36,55,647,126,520,328,3
200,99,76,893,274,144,130,190,207,211,189,1912,332,10,67,880,56,326,852,12.0004
165,102,75,968,241,106,135,151,172,176,151,2086,373,16,66,978,80,372,978,8.26688
247,101,81,475,307,183,124,244,243,253,243,1595,214,14,48,577,92,500,92,13
235,104,80,575,302,173,129,232,235,242,228,1655,228,53,39,604,206,400,461,2
165,68,70,835,213,116,97,165,153,175,153,3141,601,8,64,1356,108,975,108,7.31873
247,70,72,812,294,197,97,255,235,256,235,1415,205,8,59,544,51,486,51,13.042
266,84,74,1079,329,216,113,250,271,279,250,2129,360,13,66,925,85,331,925,5.41508
183,119,73,1233,267,105,162,193,167,196,164,904,199,14,75,447,55,336,68,31.7282
96,120,77,756,178,23,155,105,97,105,85,1759,281,55,51,717,223,717,301,4
148,147,79,703,241,57,184,156,139,156,139,1268,227,47,56,506,166,506,169,7.72822
160,142,86,655,251,86,165,151,164,169,151,1357,185,29,46,478,125,317,478,6.75751
181,165,88,662,281,94,187,177,183,190,173,1045,155,22,50,398,97,240,361,23
252,85,65,1449,320,190,130,250,269,269,233,1045,207,22,59,457,110,110,222,9
229,109,69,1511,312,156,156,239,209,247,208,754,139,10,73,313,43,176,53,25
140,146,81,713,234,55,179,132,146,150,131,967,148,31,44,363,122,268,344,28
161,117,73,1260,245,85,160,170,145,175,141,1264,296,27,80,650,94,462,112,21
252,119,66,1019,343,163,180,242,250,267,242,1529,274,1,81,780,9,349,780,3.25008
176,109,68,1581,262,102,160,182,156,194,154,1234,294,18,77,617,67,311,87,7.75751
142,103,67,1453,222,69,153,152,121,159,121,1237,243,9,84,555,32,378,32,7.25126
104,97,66,1341,180,35,145,111,86,119,84,1377,267,16,76,578,53,408,56,8.25046
237,90,72,1002,297,172,125,246,221,246,221,1936,289,5,62,728,32,700,32,9.66132
260,83,69,1157,317,197,120,263,241,270,241,2033,392,4,71,921,22,691,22,10.0524
263,91,72,1015,325,200,125,265,248,273,248,2001,371,3,70,899,32,634,32,9
236,90,72,1000,297,172,125,245,220,246,220,1936,287,6,62,723,34,698,34,5.02991
261,96,75,989,324,196,128,263,246,270,246,1829,331,3,70,815,32,573,32,7.41808
239,90,73,937,298,175,123,241,223,248,223,1937,281,8,61,722,37,695,37,6.28145
253,87,75,947,311,195,116,255,238,262,238,1646,259,5,59,678,47,550,47,3.54604
255,89,75,949,314,196,118,258,239,263,239,1620,256,4,60,684,42,507,42,10.7885
238,90,73,907,298,175,123,240,223,246,223,1947,280,8,60,725,39,697,39,3.29087
178,79,80,659,231,133,98,170,183,185,169,2592,426,49,54,1094,192,450,972,7.00608
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,82,78,721,204,100,104,140,154,156,138,2619,434,48,53,1113,194,488,1007,15.0013
251,80,80,650,307,207,100,241,256,258,241,2321,351,45,53,927,156,374,927,15.0043
145,81,78,729,200,97,103,137,151,153,135,2628,420,57,50,1082,227,516,925,11.0001
161,80,79,715,215,114,101,153,167,169,151,2615,426,52,52,1095,206,481,961,11.0013
259,93,75,985,321,197,124,262,244,268,244,1541,267,3,65,663,37,529,37,7.72822
254,93,75,959,316,193,123,257,239,262,239,1546,272,4,65,654,43,538,43,2.78853
236,90,75,1032,297,178,119,238,220,246,220,1657,303,12,61,671,90,596,90,3.08526
241,91,75,998,302,182,120,242,226,250,226,1618,293,8,63,656,69,577,69,2.78853
258,94,75,959,320,196,124,260,243,267,243,1536,267,3,66,666,35,528,35,13
256,80,65,1331,315,192,123,262,235,269,235,1995,368,1,71,841,13,727,13,2.63093
257,85,65,1319,319,190,129,261,236,270,236,1975,368,2,71,830,14,714,14,2.72822
237,68,73,748,284,191,93,244,227,245,227,1924,347,26,58,716,163,532,163,10
